#data,giorni,C,Cd,Cd1d,Cd2d,D,Dd,Dd1d,Dd2d,R,Rd,Rd1d,Rd2d
2020/03/04,-17,1,0,0,0,0,0,0,0,0,0,0,0
2020/03/05,-16,3,2,2,2,0,0,0,0,0,0,0,0
2020/03/06,-15,4,1,-1,-3,0,0,0,0,0,0,0,0
2020/03/07,-14,5,1,0,1,0,0,0,0,0,0,0,0
2020/03/08,-13,7,2,1,1,0,0,0,0,0,0,0,0
2020/03/09,-12,10,3,1,0,0,0,0,0,0,0,0,0
2020/03/10,-11,13,3,0,-1,0,0,0,0,0,0,0,0
2020/03/11,-10,17,4,1,1,0,0,0,0,0,0,0,0
2020/03/12,-9,23,6,2,1,0,0,0,0,0,0,0,0
2020/03/13,-8,33,10,4,2,0,0,0,0,0,0,0,0
2020/03/14,-7,43,10,0,-4,0,0,0,0,0,0,0,0
2020/03/15,-6,61,18,8,8,0,0,0,0,0,0,0,0
2020/03/16,-5,75,14,-4,-12,0,0,0,0,0,0,0,0
2020/03/17,-4,156,81,67,71,0,0,0,0,0,0,0,0
2020/03/18,-3,201,45,-36,-103,0,0,0,0,0,0,0,0
2020/03/19,-2,238,37,-8,28,0,0,0,0,0,0,0,0
2020/03/20,-1,434,196,159,167,0,0,0,0,6,6,6,6
2020/03/21,0,537,103,-93,-252,1,1,1,1,8,2,-4,-10
2020/03/22,1,632,95,-8,85,1,0,-1,-2,8,0,-2,2
2020/03/23,2,746,114,19,27,2,1,1,2,8,0,0,2
2020/03/24,3,,,,,,,,,,,,
2020/03/25,4,,,,,,,,,,,,
2020/03/26,5,,,,,,,,,,,,
2020/03/27,6,,,,,,,,,,,,
2020/03/28,7,,,,,,,,,,,,
2020/03/29,8,,,,,,,,,,,,
2020/03/30,9,,,,,,,,,,,,
2020/03/31,10,,,,,,,,,,,,
2020/04/01,11,,,,,,,,,,,,
2020/04/02,12,,,,,,,,,,,,
2020/04/03,13,,,,,,,,,,,,
2020/04/04,14,,,,,,,,,,,,
2020/04/05,15,,,,,,,,,,,,
2020/04/06,16,,,,,,,,,,,,
2020/04/07,17,,,,,,,,,,,,
2020/04/08,18,,,,,,,,,,,,
2020/04/09,19,,,,,,,,,,,,
2020/04/10,20,,,,,,,,,,,,
2020/04/11,21,,,,,,,,,,,,
2020/04/12,22,,,,,,,,,,,,
2020/04/13,23,,,,,,,,,,,,
2020/04/14,24,,,,,,,,,,,,
2020/04/15,25,,,,,,,,,,,,
2020/04/16,26,,,,,,,,,,,,
2020/04/17,27,,,,,,,,,,,,
2020/04/18,28,,,,,,,,,,,,
2020/04/19,29,,,,,,,,,,,,
2020/04/20,30,,,,,,,,,,,,
2020/04/21,31,,,,,,,,,,,,
2020/04/22,32,,,,,,,,,,,,
2020/04/23,33,,,,,,,,,,,,
2020/04/24,34,,,,,,,,,,,,
2020/04/25,35,,,,,,,,,,,,
2020/04/26,36,,,,,,,,,,,,
2020/04/27,37,,,,,,,,,,,,
2020/04/28,38,,,,,,,,,,,,
2020/04/29,39,,,,,,,,,,,,
2020/04/30,40,,,,,,,,,,,,
2020/05/01,41,,,,,,,,,,,,
2020/05/02,42,,,,,,,,,,,,
2020/05/03,43,,,,,,,,,,,,
2020/05/04,44,,,,,,,,,,,,
2020/05/05,45,,,,,,,,,,,,
2020/05/06,46,,,,,,,,,,,,
2020/05/07,47,,,,,,,,,,,,
2020/05/08,48,,,,,,,,,,,,
2020/05/09,49,,,,,,,,,,,,
2020/05/10,50,,,,,,,,,,,,
2020/05/11,51,,,,,,,,,,,,
2020/05/12,52,,,,,,,,,,,,
2020/05/13,53,,,,,,,,,,,,
2020/05/14,54,,,,,,,,,,,,
2020/05/15,55,,,,,,,,,,,,
2020/05/16,56,,,,,,,,,,,,
2020/05/17,57,,,,,,,,,,,,
2020/05/18,58,,,,,,,,,,,,
2020/05/19,59,,,,,,,,,,,,
2020/05/20,60,,,,,,,,,,,,
2020/05/21,61,,,,,,,,,,,,
2020/05/22,62,,,,,,,,,,,,
2020/05/23,63,,,,,,,,,,,,
2020/05/24,64,,,,,,,,,,,,
2020/05/25,65,,,,,,,,,,,,
2020/05/26,66,,,,,,,,,,,,
2020/05/27,67,,,,,,,,,,,,
2020/05/28,68,,,,,,,,,,,,
2020/05/29,69,,,,,,,,,,,,
2020/05/30,70,,,,,,,,,,,,
2020/05/31,71,,,,,,,,,,,,
